"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005100",5191,37.81,0.28,0.22,33.88,1.37,0.08,17.91,19.78,0.44,0.24
"E01005101",2203,50.1,0.34,0.28,37.43,1.98,0.4,20.87,21.92,0.39,0.38
"E01005102",9812,26.83,0.15,0.15,26.59,0.79,-0.13,18.43,42.96,0.19,0.17
"E01005103",1148,57.6,0.39,0.3,47.19,1.97,0.68,20.27,28.73,0.49,0.44
"E01005104",2582,48.1,0.33,0.23,33.08,1.39,0.85,38.51,27.71,0.46,0.35
"E01005105",4157,41.21,0.28,0.18,23.89,1.41,1.37,28.18,22.88,0.33,0.56
"E01005106",1314,56.22,0.37,0.25,65.37,1.89,0.47,26.68,30.75,0.45,0.4
"E01005107",936,59.91,0.38,0.31,53.29,2.17,0.57,32.39,15.06,0.39,0.5
"E01005108",1054,58.61,0.4,0.28,45.73,1.94,1.02,24.08,28.44,0.45,0.45
"E01005111",5715,36.14,0.24,0.2,37.33,1.4,0.24,17.08,22.38,0.29,0.32
"E01005112",2848,46.69,0.27,0.22,48.45,1.68,1.18,26.16,24.46,0.37,0.23
"E01005113",1681,53.39,0.3,0.29,55.07,2.08,0.64,20.88,27.59,0.3,0.36
"E01005114",16752,17.01,0.11,0.09,4.67,0.59,0.85,11.95,20.15,0.1,0.17
"E01005115",7565,31.41,0.21,0.17,21.94,1.15,0.73,20.38,21.05,0.27,0.27
"E01005116",9982,26.54,0.19,0.13,16.18,1.37,0.25,20.08,17.39,0.22,0.34
"E01005117",734,62.37,0.38,0.29,55.13,2.55,1.13,27.03,24.72,0.47,0.5
"E01005118",12803,21.91,0.1,0.09,13.78,0.83,0.66,17.5,44.66,0.08,0.19
"E01005119",2678,47.59,0.3,0.22,55.67,1.72,0.88,21.73,25.25,0.34,0.39
"E01005120",8301,29.87,0.21,0.15,27.75,1.17,0.36,17.09,25.45,0.25,0.36
"E01005121",1850,52.21,0.34,0.25,54.41,1.89,0.7,23.19,29.25,0.36,0.5
"E01005122",4542,39.86,0.31,0.22,30.23,1.36,0.43,20.4,16.95,0.37,0.38
"E01005123",1930,51.72,0.35,0.27,42.01,1.8,0.9,22.68,21.96,0.4,0.39
"E01005124",3021,45.76,0.32,0.23,38.27,1.7,0.7,24.04,20.37,0.4,0.38
"E01005125",5055,38.24,0.28,0.19,24.86,1.55,0.6,22.84,21.44,0.37,0.44
"E01005126",15812,18.09,0.13,0.08,9.88,0.47,0.47,13.55,33.38,0.2,0.19
